0100-01-  WEST EIFEL VOLC FIELD         Germany              50.17  N   6.85  E   600 Maars               Radiocarbon             D7
0100-02-  CHAINE DES PUYS               France               45.50  N   2.75  E  1464 Cinder cones        Radiocarbon             D7
0100-03-  OLOT VOLC FIELD               Spain                42.17  N   2.53  E   893 Pyroclastic cones   Holocene?               ?
0101-001  LARDERELLO                    Italy                43.25  N  10.87  E   500 Explosion craters   Historical              D6
0101-002  AMIATA                        Italy                42.90  N  11.63  E  1738 Lava domes          Pleistocene-Fumarolic   Q
0101-003  VULSINI                       Italy                42.60  N  11.93  E   800 Caldera             Historical              D7
0101-004  ALBANO, MONTE                 Italy                41.73  N  12.70  E   949 Caldera             Holocene?               ?
0101-01=  CAMPI FLEGREI                 Italy                40.827 N  14.139 E   458 Caldera             Historical              D5
0101-02=  VESUVIUS                      Italy                40.821 N  14.426 E  1281 Complex volcano     Historical              D2
0101-03=  ISCHIA                        Italy                40.73  N  13.898 E   789 Complex volcano     Historical              D6
0101-04=  STROMBOLI                     Italy                38.789 N  15.213 E   926 Stratovolcano       Historical              D1
0101-041  LIPARI                        Italy                38.48  N  14.95  E   602 Stratovolcano       Historical              D6
0101-05=  VULCANO                       Italy                38.404 N  14.962 E   500 Stratovolcano       Historical              D3
0101-06=  ETNA                          Italy                37.734 N  15.004 E  3350 Shield volcano      Historical              D1
0101-07=  CAMPI FLEGREI MAR SICILIA     Italy                37.10  N  12.70  E    -8 Submarine volcanoes Historical              D2
0101-071  PANTELLERIA                   Italy                36.77  N  12.02  E   836 Shield volcano      Historical              D3
0102-02=  METHANA                       Greece               37.615 N  23.336 E   760 Lava domes          Historical              D7
0102-03=  MILOS                         Greece               36.699 N  24.439 E   751 Stratovolcanoes     Holocene                U
0102-04=  SANTORINI                     Greece               36.404 N  25.396 E   564 Shield volcanoes    Historical              D2
0102-05=  NISYROS                       Greece               36.58  N  27.18  E   698 Stratovolcano       Historical              D3
0102-051  YALI                          Greece               36.63  N  27.10  E   176 Lava domes          Holocene                U
0102-06=  KOS                           Greece               36.829 N  27.257 E   430 Fumarole fields     Pleistocene-Fumarolic   Q
0103-00-  KULA                          Turkey               38.58  N  28.52  E   750 Cinder cones        Holocene                U
0103-001  KARAPINAR FIELD               Turkey               37.67  N  33.65  E  1302 Cinder cones        Holocene                D7
0103-002  HASAN DAGI                    Turkey               38.13  N  34.17  E  3253 Stratovolcano       Holocene                U
0103-003  GOLLU DAG                     Turkey               38.25  N  34.57  E  2143 Lava dome           Holocene                U
0103-004  ACIGOL-NEVSEHIR               Turkey               38.57  N  34.52  E  1689 Maars               Holocene                U
0103-01=  ERCIYES DAGI                  Turkey               38.52  N  35.48  E  3916 Stratovolcano       Holocene                U
0103-011  KARACALIDAG                   Turkey               37.67  N  39.83  E  1957 Shield volcano      Holocene                U
0103-02=  NEMRUT DAGI                   Turkey               38.65  N  42.02  E  3050 Stratovolcano       Historical              D6
0103-021  SUPHAN DAGI                   Turkey               38.92  N  42.82  E  4434 Stratovolcano       Holocene                U
0103-022  GIREKOL                       Turkey               39.17  N  43.33  E       Unknown             Holocene                U
0103-03=  TENDURUK DAGI                 Turkey               39.33  N  43.83  E  3584 Shield volcano      Holocene                U
0103-04-  ARARAT, MT.                   Turkey               39.70  N  44.28  E  5165 Stratovolcano       Holocene                U
0103-05-  KARS PLATEAU                  Turkey               40.75  N  42.90  E  3000 Volcanic field      Holocene?               ?
0104-01-  ELBRUS                        Russia-SW            43.33  N  42.45  E  5633 Stratovolcano       Tephrochronology        D6
0104-02-  KASBEK                        Georgia              42.70  N  44.50  E  5050 Stratovolcano       Tephrochronology        D7
0104-03-  KABARGIN OTH GROUP            Georgia              42.55  N  44.00  E  3650 Cinder cones        Holocene                U
0104-04-  UNNAMED                       Georgia              42.45  N  44.25  E  3750 Cinder cones        Holocene                U
0104-05-  UNNAMED                       Georgia              41.55  N  43.60  E  3400 Cones               Holocene                U
0104-06-  ARAGATS                       Armenia              40.55  N  44.12  E  4090 Stratovolcano       Holocene                U
0104-07-  AGMAGAN-KARADAG               Armenia              40.275 N  44.75  E  3560 Volcanic field      Holocene                U
0104-08-  DAR-ALAGES                    Armenia              39.70  N  45.542 E  3329 Unknown             Holocene                U
0201-01=  TEYR, DJEBEL                  Red Sea              15.70  N  41.742 E   244 Stratovolcano       Historical              D3
0201-02=  ZUBAYR, JEBEL                 Red Sea              15.08  N  42.17  E   191 Shield volcano      Historical              D3
0201-03=  JALUA                         Ethiopia             15.042 N  39.82  E   713 Stratovolcano       Holocene                U
0201-04=  ALID                          Ethiopia             14.88  N  39.92  E   904 Stratovolcano       Holocene                U
0201-041  DALLOL                        Ethiopia             14.242 N  40.30  E   -48 Explosion crater    Historical              D2
0201-05=  GADA ALE                      Ethiopia             13.975 N  40.408 E   287 Stratovolcano       Holocene                U
0201-051  CATHERINE                     Ethiopia             13.92  N  40.42  E   100 Tuff ring           Holocene                U
0201-06=  ALU                           Ethiopia             13.82  N  40.55  E   429 Fissure vents       Holocene                U
0201-07=  DALAFFILLA                    Ethiopia             13.792 N  40.55  E   613 Stratovolcano       Holocene                U
0201-071  BORALE ALE                    Ethiopia             13.725 N  40.60  E   668 Stratovolcano       Holocene                U
0201-08=  ERTA ALE                      Ethiopia             13.60  N  40.67  E   613 Shield volcano      Historical              D1
0201-09=  ALE BAGU                      Ethiopia             13.52  N  40.63  E  1031 Stratovolcano       Holocene                U
0201-091  HAYLI GUBBI                   Ethiopia             13.50  N  40.72  E   521 Shield volcano      Holocene                U
0201-10=  DUBBI                         Ethiopia             13.58  N  41.808 E  1625 Stratovolcano       Historical              D3
0201-101  NABRO                         Ethiopia             13.37  N  41.70  E  2218 Stratovolcano       Holocene?               ?
0201-102  MALLAHLE                      Ethiopia             13.27  N  41.65  E  1875 Stratovolcano       Holocene?               ?
0201-103  SORKALE                       Ethiopia             13.18  N  41.725 E  1611 Stratovolcano       Holocene?               ?
0201-104  ASAVYO                        Ethiopia             13.07  N  41.60  E  1200 Shield volcano      Holocene                U
0201-105  MAT ALA                       Ethiopia             13.10  N  41.15  E   523 Shield volcano      Holocene                U
0201-106  TAT ALI                       Ethiopia             13.28  N  41.07  E   700 Shield volcano      Holocene                U
0201-107  BORAWLI                       Ethiopia             13.30  N  40.98  E   812 Stratovolcano       Holocene                U
0201-11=  AFDERA                        Ethiopia             13.08  N  40.85  E  1295 Stratovolcano       Holocene?               ?
0201-111  MA ALALTA                     Ethiopia             13.02  N  40.20  E  1815 Stratovolcano       Holocene                U
0201-112  ALAYTA                        Ethiopia             12.88  N  40.57  E  1501 Shield volcano      Historical              D2
0201-113  DABBAHU                       Ethiopia             12.60  N  40.48  E  1442 Stratovolcano       Holocene                U
0201-114  DABBAYRA                      Ethiopia             12.38  N  40.07  E  1302 Shield volcano      Holocene                U
0201-115  HARARO MANDA                  Ethiopia             12.17  N  40.82  E   600 Fissure vents       Holocene                U
0201-116  GROPPO                        Ethiopia             11.73  N  40.25  E   930 Stratovolcano       Holocene                U
0201-12=  KURUB                         Ethiopia             11.88  N  41.208 E   625 Stratovolcano       Holocene                U
0201-121  BORAWLI COMPLEX               Ethiopia             11.63  N  41.45  E   875 Lava domes          Holocene                U
0201-122  MANDA-INAKIR                  Ethiopia             12.38  N  42.20  E   600 Fissure vents       Historical              D2
0201-123  MOUSA ALLI                    Ethiopia             12.47  N  42.40  E  2028 Stratovolcano       Holocene                U
0201-124  GUFA                          Ethiopia             12.55  N  42.53  E   600 Volcanic field      Holocene                U
0201-125  ASSAB VOLC FIELD              Ethiopia             12.95  N  42.43  E   987 Volcanic field      Holocene                U
0201-126  ARDOUKOBA                     Djibouti             11.58  N  42.47  E   298 Fissure vents       Historical              D1
0201-127  TIHO                          Djibouti             11.53  N  42.05  E   500 Fumarole field      Pleistocene-Fumarolic   Q
0201-13=  GARBES                        Djibouti             11.42  N  42.20  E  1000 Fumarole field      Pleistocene-Fumarolic   Q
0201-14=  BOINA                         Djibouti             11.25  N  41.83  E   300 Fumarole field      Pleistocene-Fumarolic   Q
0201-141  DAMA ALI                      Ethiopia             11.28  N  41.63  E  1068 Shield volcano      Holocene                D5
0201-142  ASMARA                        Ethiopia             11.27  N  41.52  E   500 Pyroclastic cone    Holocene                U
0201-15=  GABILLEMA                     Ethiopia             11.08  N  41.27  E  1459 Stratovolcano       Holocene                U
0201-151  YANGUDI                       Ethiopia             10.58  N  41.042 E  1383 Complex volcano     Holocene                U
0201-16=  AYELU                         Ethiopia             10.082 N  40.702 E  2145 Stratovolcano       Holocene                U
0201-17=  ADWA                          Ethiopia             10.07  N  40.84  E  1733 Stratovolcano       Holocene                U
0201-171  HERTALI                       Ethiopia              9.78  N  40.33  E   900 Fissure vent        Holocene                U
0201-172  LIADO HAYK FIELD              Ethiopia              9.57  N  40.28  E   878 Maars               Holocene?               ?
0201-18=  DOFEN                         Ethiopia              9.35  N  40.13  E  1151 Stratovolcano       Holocene                U
0201-19=  FENTALE                       Ethiopia              8.975 N  39.93  E  2007 Stratovolcano       Historical              D3
0201-191  BERU                          Ethiopia              8.95  N  39.75  E  1100 Unknown             Holocene                U
0201-20-  KONE                          Ethiopia              8.80  N  39.692 E  1619 Calderas            Historical              D3
0201-201  UNNAMED                       Ethiopia              8.70  N  39.63  E  1300 Pyroclastic cones   Holocene                U
0201-21-  BOSET-BERICHA                 Ethiopia              8.558 N  39.475 E  2447 Stratovolcanoes     Holocene                U
0201-22-  BISHOFTU FIELD                Ethiopia              8.78  N  38.98  E  1850 Fissure vents       Holocene                U
0201-221  UNNAMED                       Ethiopia              8.62  N  38.95  E  1800 Fissure vents       Holocene                U
0201-222  SODORE                        Ethiopia              8.43  N  39.35  E  1765 Pyroclastic cones   Holocene                U
0201-23-  GEDAMSA CALDERA               Ethiopia              8.35  N  39.18  E  1984 Caldera             Holocene                U
0201-24-  BORA-BERICCIO COMPLEX         Ethiopia              8.27  N  39.03  E  2285 Pumice cones        Holocene                U
0201-25-  TULLU MOJE                    Ethiopia              8.158 N  39.13  E  2349 Pumice cone         Anthropology            D2
0201-251  UNNAMED                       Ethiopia              8.07  N  39.07  E  1800 Fissure vents       Holocene                U
0201-252  UNNAMED                       Ethiopia              7.95  N  38.93  E  1889 Fissure vents       Holocene                U
0201-26-  BUTAJIRI-SILTI FIELD          Ethiopia              8.05  N  38.35  E  2281 Fissure vents       Holocene                U
0201-27-  ALUTU                         Ethiopia              7.77  N  38.78  E  2335 Stratovolcano       Holocene                U
0201-28-  SHALA                         Ethiopia              7.47  N  38.55  E  2075 Stratovolcano       Holocene                U
0201-29-  CORBETTI CALDERA              Ethiopia              7.18  N  38.43  E  2320 Caldera             Holocene                U
0201-291  BILATE RIVER FIELD            Ethiopia              7.07  N  38.10  E  1700 Volcanic field      Holocene                U
0201-292  TEPI                          Ethiopia              7.42  N  35.43  E  2728 Shield volcano      Holocene                U
